,Fighter_ID,Fighter_Name,matches
418,85d905f7c4f5a1af,Murilo Bustamante ,
419,51b1ca2a4b064101,Nick Bustamante ,
420,f273f1b8df04c8a1,Eduardo Bustillos ,Eduardo Bustillos
421,30e39145fec48d25,Jason Butcher ,Jason Butcher
422,3fed746acfd026dd,Todd Butler ,
423,e2d5072048b825b1,Goldman Butler ,
424,6b8fd98eb52363d1,Ian Butler ,
425,f941505e35fb1eae,Raphael Butler The Silencer,
426,0b362247806341e5,JP Buys ,Jp Buys
427,4959f10a62f3fec3,Cheyanne Buys ,Cheyanne Buys
428,c4d039123e62f6a9,Dennis Buzukja The Great,
429,76ee3d666c648f6b,Charles Byrd Kid Dynamite,Charles Byrd
430,43612456979e5d5e,Steve Byrnes The Sergeant,
431,87f0b37f153cf497,Michael Byrnes ,
432,7cdd3e5d3aa9cb39,Yan Cabral ,Yan Cabral
433,ce7871949b0ed2bf,Alvin Cacdac ,
434,7aa3d6964eff4877,Alex Caceres Bruce Leeroy,Alex Caceres
435,ed2a8cc402173781,Vince Cachero The Anomaly,Vince Cachero
436,b1e5bcaad32a3cac,Priscila Cachoeira Zombie Girl,Priscila Cachoeira
437,90d28fee0af74f2d,Travis Calanoc The Dark Knight,
438,800feaa25700a85f,Ricky Calatayud ,
439,12f91bfa8f1f723b,Joanne Calderwood JoJo,Joanne Calderwood
440,b7dc25ee40ee8334,Darrion Caldwell The Wolf,
441,53d471e9bf5f2fc8,Taylor Callens ,
442,98215d037be5bcb7,Cynthia Calvillo ,
443,dfb965c9824425db,Joe Camacho ,
444,764342d39cdaa54a,Frank Camacho The Crank,Frank Camacho
445,7abe471b61725980,Fabricio Camoes Morango,
446,6c2030e0a143a94b,Chris Camozzi ,Chris Camozzi
447,1999ffb5cebc314f,Brian Camozzi Mantis,
448,f5585e675af7afd4,Mike Campbell The Beast,
449,d060014a5a039829,Thomas Campbell ,
450,784285b7ae7dd85f,Shane Campbell Shaolin,Shane Campbell
451,31bbd46d57dfbcb7,John Campetella ,
452,db6d5f691aea3fd3,Wagner Campos Galeto,
453,aa8dc72b3a1f761c,Derek Campos The Stallion,Derek Campos
454,901cddcbfa079097,Will Campuzano ,
455,c2a670b22d2e196f,Aleksa Camur ,Aleksa Camur
456,32be4b7f7de1c905,Chico Camus The King,
457,2a7afe14b3a0a058,Asbel Cancio ,
458,760a55d5b6098cbe,Carlos Candelario The Cannon,
459,23fbe02caabcd214,Ronaldo Candido Pacman,
460,24b033b3daf1c9df,Luiz Cane Banha,
461,d05412b513b19621,Guido Cannetti Ninja,
462,13a0275fa13c4d26,Jared Cannonier The Killa Gorilla,Jared Cannonier
463,03da33a102d9a45f,Jose Canseco ,
464,23100e8f71f25a4a,Cody Canterbury ,
465,6750e338922a099d,Bo Cantrell Redrum,
466,f1f9e48a0d150757,Steve Cantwell The Robot,
467,bd81a97864acf098,Phil Caracappa The Hitman,
468,44f9c777fed7ca03,Frank Caracci ,
469,899eaba48fa864a6,Gina Carano Conviction,
470,155a02a8b4311057,Dos Caras Jr. ,
471,5ef0088c1b19beeb,Bryan Caraway Kid Lightning,Bryan Caraway
472,e5512a6aed150d8f,Remo Cardarelli ,
473,f6a7b02c42e9fc5b,Phil Cardella ,
474,99a86b134dccc166,Edgar Cardenas Kitty Katt,
